unit_id,county_geoid,county,col,row,x_3310,y_3310,lon,lat,frac_2022,frac_2023
c-660_r474,06087,Santa Cruz,-660,474,-164875.0,-118625.0,-121.85375,36.934734,0.6099223410056095,0.9855999999988141
c-655_r489,06087,Santa Cruz,-655,489,-163625.0,-122375.0,-121.838881,36.901222,0.6630469286478196,0.945630130952601
c-654_r489,06087,Santa Cruz,-654,489,-163375.0,-122375.0,-121.836073,36.901265,0.6561945923788369,0.9092613276675002
c-655_r490,06087,Santa Cruz,-655,490,-163625.0,-122625.0,-121.838827,36.898973,0.6047079191042073,0.6502057003065957
c-654_r490,06087,Santa Cruz,-654,490,-163375.0,-122625.0,-121.836018,36.899016,0.7530632134038134,0.8579799909109354
c-648_r490,06087,Santa Cruz,-648,490,-161875.0,-122625.0,-121.819165,36.899277,0.7566692432717597,0.8689125584861107
c-650_r498,06087,Santa Cruz,-650,498,-162375.0,-124625.0,-121.82435,36.8812,0.6557872909350675,0.7942708198449101
c-641_r513,06053,Monterey,-641,513,-160125.0,-128375.0,-121.798278,36.847854,0.9171869044472951,0.9185846021921067
c-632_r513,06053,Monterey,-632,513,-157875.0,-128375.0,-121.773015,36.848236,0.6160574474025085,0.8135342184329094
c-630_r514,06053,Monterey,-630,514,-157375.0,-128625.0,-121.767349,36.846071,0.6411776575756488,0.7826200302293971
c-637_r515,06053,Monterey,-637,515,-159125.0,-128875.0,-121.786944,36.843527,0.6260352977121512,0.6683710083473993
c-632_r563,06053,Monterey,-632,563,-157875.0,-140875.0,-121.770394,36.735792,0.6011495476844194,0.6155495476874665
c-608_r564,06053,Monterey,-608,564,-151875.0,-141125.0,-121.703075,36.734532,0.7305193883158708,0.7758269823298303
c-608_r565,06053,Monterey,-608,565,-151875.0,-141375.0,-121.703025,36.732283,0.6793483077427611,0.6174194097660766
c-623_r566,06053,Monterey,-623,566,-155625.0,-141625.0,-121.745014,36.72942,0.70766047651975,0.6181520390953293
