id,date,acquired_utc,cloud_percent_scene,pct_pajaro_box,units_in_pajaro_covered,ref18_covered
20230311_175304_86_2447,2023-03-11,2023-03-11T17:53:04.864814Z,99,93.71385533259547,542,15
20230311_183158_85_2489,2023-03-11,2023-03-11T18:31:58.855585Z,94,61.752078284486764,328,12
20230311_175302_69_2447,2023-03-11,2023-03-11T17:53:02.690412Z,98,42.37897722284235,153,1
20230311_175307_03_2447,2023-03-11,2023-03-11T17:53:07.039216Z,88,0.0,0,3
20230311_175309_21_2447,2023-03-11,2023-03-11T17:53:09.213618Z,71,0.0,0,0
20230311_183203_22_2489,2023-03-11,2023-03-11T18:32:03.228192Z,83,0.0,0,3
20230311_183205_41_2489,2023-03-11,2023-03-11T18:32:05.414496Z,77,0.0,0,0
20230312_175546_60_2421,2023-03-12,2023-03-12T17:55:46.600344Z,90,100.0,553,15
20230312_175548_79_2421,2023-03-12,2023-03-12T17:55:48.790994Z,96,11.783764018488725,49,2
20230312_175544_40_2421,2023-03-12,2023-03-12T17:55:44.409694Z,79,0.5078468791779079,0,0
20230312_175345_18_2442,2023-03-12,2023-03-12T17:53:45.188888Z,34,0.0,0,0
20230312_175347_37_2442,2023-03-12,2023-03-12T17:53:47.378844Z,68,0.0,0,0
20230312_175550_98_2421,2023-03-12,2023-03-12T17:55:50.981644Z,49,0.0,0,2
20230312_182954_69_2470,2023-03-12,2023-03-12T18:29:54.698849Z,22,0.0,0,0
20230312_182956_89_2470,2023-03-12,2023-03-12T18:29:56.890456Z,19,0.0,0,0
20230313_180045_08_24c7,2023-03-13,2023-03-13T18:00:45.085484Z,22,91.00492737689163,534,15
20230313_180042_70_24c7,2023-03-13,2023-03-13T18:00:42.707878Z,31,48.142714466708775,180,1
20230313_175753_63_24d0,2023-03-13,2023-03-13T17:57:53.631261Z,23,0.0,0,0
20230313_180047_46_24c7,2023-03-13,2023-03-13T18:00:47.46309Z,51,0.0,0,3
20230313_180049_84_24c7,2023-03-13,2023-03-13T18:00:49.840696Z,94,0.0,0,0
20230313_183111_77_248f,2023-03-13,2023-03-13T18:31:11.77807Z,100,0.0,0,0
20230313_183113_98_248f,2023-03-13,2023-03-13T18:31:13.988014Z,90,0.0,0,0
