id,acquired_utc,date,item_type,satellite_id,instrument,quality_category,cloud_percent_scene,clear_percent_scene,visible_percent_scene,shadow_percent,heavy_haze_percent,usable_data,units_intersected,pct_units_intersected,pct_unit_area_covered,intersects_lower_pajaro,n_permissions
20230311_175302_69_2447,2023-03-11T17:53:02.690412Z,2023-03-11,PSScene,2447,PSB.SD,test,98,1,2,0,0,,228,17.272727272727273,12.796410316946186,True,0
20230311_175304_86_2447,2023-03-11T17:53:04.864814Z,2023-03-11,PSScene,2447,PSB.SD,test,99,1,1,0,0,,932,70.60606060606061,55.0367022670257,True,0
20230311_175307_03_2447,2023-03-11T17:53:07.039216Z,2023-03-11,PSScene,2447,PSB.SD,standard,88,11,11,0,1,,386,29.242424242424242,44.067426781334085,False,0
20230311_175309_21_2447,2023-03-11T17:53:09.213618Z,2023-03-11,PSScene,2447,PSB.SD,standard,71,26,29,2,0,,13,0.9848484848484848,1.408901736391441,False,0
20230311_183158_85_2489,2023-03-11T18:31:58.855585Z,2023-03-11,PSScene,2489,PSB.SD,test,94,5,6,0,0,,413,31.287878787878785,19.526902355372897,True,0
20230311_183203_22_2489,2023-03-11T18:32:03.228192Z,2023-03-11,PSScene,2489,PSB.SD,standard,83,14,17,3,0,,418,31.666666666666664,50.09968441051698,False,0
20230311_183205_41_2489,2023-03-11T18:32:05.414496Z,2023-03-11,PSScene,2489,PSB.SD,test,77,19,22,4,0,,27,2.0454545454545454,2.08597309701902,False,0
20230312_175345_18_2442,2023-03-12T17:53:45.188888Z,2023-03-12,PSScene,2442,PSB.SD,test,34,18,66,0,0,,2,0.15151515151515152,0.03759652374730946,False,0
20230312_175347_37_2442,2023-03-12T17:53:47.378844Z,2023-03-12,PSScene,2442,PSB.SD,test,68,13,30,0,1,,2,0.15151515151515152,0.03759652374730946,False,0
20230312_175544_40_2421,2023-03-12T17:55:44.409694Z,2023-03-12,PSScene,2421,PSB.SD,test,79,9,13,0,8,,30,2.272727272727273,1.0186252231152786,True,0
20230312_175546_60_2421,2023-03-12T17:55:46.600344Z,2023-03-12,PSScene,2421,PSB.SD,test,90,4,5,0,5,,745,56.439393939393945,36.46830714849839,True,0
20230312_175548_79_2421,2023-03-12T17:55:48.790994Z,2023-03-12,PSScene,2421,PSB.SD,standard,96,3,4,0,0,,563,42.65151515151515,57.55237674375321,True,0
20230312_175550_98_2421,2023-03-12T17:55:50.981644Z,2023-03-12,PSScene,2421,PSB.SD,standard,49,38,46,1,5,,146,11.06060606060606,19.303981053012237,False,0
20230312_182954_69_2470,2023-03-12T18:29:54.698849Z,2023-03-12,PSScene,2470,PSB.SD,standard,22,16,40,0,38,,39,2.9545454545454546,3.3801355136496567,False,0
20230312_182956_89_2470,2023-03-12T18:29:56.890456Z,2023-03-12,PSScene,2470,PSB.SD,test,19,38,59,2,22,,1,0.07575757575757576,0.08415531167715351,False,0
20230313_175753_63_24d0,2023-03-13T17:57:53.631261Z,2023-03-13,PSScene,24d0,PSB.SD,standard,23,71,76,3,1,,80,6.0606060606060606,7.774020970865945,False,0
20230313_180042_70_24c7,2023-03-13T18:00:42.707878Z,2023-03-13,PSScene,24c7,PSB.SD,standard,31,35,47,1,22,,263,19.924242424242426,14.414031914903878,True,0
20230313_180045_08_24c7,2023-03-13T18:00:45.085484Z,2023-03-13,PSScene,24c7,PSB.SD,standard,22,60,73,3,5,,1009,76.43939393939394,64.02641506704013,True,0
20230313_180047_46_24c7,2023-03-13T18:00:47.46309Z,2023-03-13,PSScene,24c7,PSB.SD,standard,51,41,46,2,2,,456,34.54545454545455,53.954262868998164,False,0
20230313_180049_84_24c7,2023-03-13T18:00:49.840696Z,2023-03-13,PSScene,24c7,PSB.SD,test,94,4,5,0,1,,25,1.893939393939394,1.96999973998918,False,0
20230313_183111_77_248f,2023-03-13T18:31:11.77807Z,2023-03-13,PSScene,248f,PSB.SD,test,100,0,0,0,0,,2,0.15151515151515152,0.03759652374730946,False,0
20230313_183113_98_248f,2023-03-13T18:31:13.988014Z,2023-03-13,PSScene,248f,PSB.SD,test,90,9,9,0,1,,2,0.15151515151515152,0.03759652374730946,False,0
