date,pass,rel_orbit,platform,units_covered,share_of_units,in_event_window
2023-02-04,DESCENDING,115,S1A,7,0.005,False
2023-02-06,ASCENDING,137,S1A,6,0.005,False
2023-02-06,DESCENDING,144,S1A,0,0.0,False
2023-02-11,ASCENDING,35,S1A,1320,1.0,False
2023-02-11,DESCENDING,42,S1A,1320,1.0,False
2023-02-16,DESCENDING,115,S1A,7,0.005,False
2023-02-18,ASCENDING,137,S1A,6,0.005,False
2023-02-18,DESCENDING,144,S1A,0,0.0,False
2023-02-23,ASCENDING,35,S1A,1320,1.0,False
2023-02-23,DESCENDING,42,S1A,1320,1.0,False
2023-02-28,DESCENDING,115,S1A,7,0.005,False
2023-03-02,DESCENDING,144,S1A,0,0.0,False
2023-03-02,ASCENDING,137,S1A,6,0.005,False
2023-03-07,ASCENDING,35,S1A,1320,1.0,False
2023-03-07,DESCENDING,42,S1A,1320,1.0,False
2023-03-12,DESCENDING,115,S1A,7,0.005,True
2023-03-14,ASCENDING,137,S1A,6,0.005,True
2023-03-14,DESCENDING,144,S1A,0,0.0,True
2023-03-19,ASCENDING,35,S1A,1320,1.0,True
2023-03-19,DESCENDING,42,S1A,1320,1.0,True
2023-03-24,DESCENDING,115,S1A,7,0.005,False
2023-03-26,ASCENDING,137,S1A,6,0.005,False
2023-03-26,DESCENDING,144,S1A,0,0.0,False
2023-03-31,ASCENDING,35,S1A,1320,1.0,False
2023-03-31,DESCENDING,42,S1A,1320,1.0,False
