field_id,vh31,vv31
4400056,-24.115687920445865,-15.619234365781603
4400039,-20.14491453811781,-10.319315613926362
4400035,-16.900082005651768,-4.680769231643843
4400031,-24.067251954699856,-15.326601776471062
4400011,-19.37240084645949,-14.309901178370225
4400006,-18.09706364001864,-8.802953871928123
4400005,-22.657590502284467,-14.225906873679504
4400004,-22.56190503662778,-14.053255830850913
4404078,-20.0018009211505,-12.955120588789615
4404045,-23.068420571942877,-13.656767922562626
4405091,-19.77024391920781,-10.815875867726854
4403743,-19.270465797077872,-5.030007796620121
4403738,-20.262046654226253,-11.493417766281913
4403731,-20.75092250305924,-12.642532349188006
4403728,-18.63653832730988,-12.23732824946756
4403726,-17.082380072810164,-9.31241944473806
4403725,-21.367588711798383,-12.092338327096924
4404030,-18.765429580810174,-10.392854293308908
4405096,-19.989386703218717,-10.531783477809098
4403991,-21.137997097725762,-14.471291494108113
4403956,-24.654612080167315,-14.308990417527088
4403933,-22.995453241676657,-12.825000908445395
4403904,-23.8466742979316,-16.06353288338416
4403896,-22.862383972246825,-13.243085079942809
4403892,-25.785728767541272,-16.277624081996308
4403887,-23.421583270511682,-15.650459126104877
4403881,-22.516390572337148,-14.208085152484989
4404594,-21.688060027413638,-9.870945989874052
4404595,-17.430247557669215,-11.734177256301859
4403864,-23.22560304056492,-14.728208333463476
4403853,-15.768280179263579,-10.072022011713129
4403852,-19.30132432922821,-7.550585715056948
4403848,-25.24229630370938,-14.61326943175898
4403840,-22.25122189135681,-13.446986892435328
4403838,-19.6514865238757,-11.161091099347905
4403837,-22.176810844856213,-13.88015083580821
4403812,-24.34677546201612,-15.696551640772391
4404222,-22.8552918375293,-11.103992558988617
4403806,-22.721792746925928,-12.584072654211191
4403769,-18.287242347703724,-8.948147221036972
4403708,-20.227563273156523,-11.599007246646655
4403688,-21.25923287683516,-8.977352499348575
4403677,-18.676843392421954,-11.736578763093915
4403659,-21.168113143611972,-12.27062478571377
4403658,-22.869224160911692,-15.471360288712734
4403643,-22.071219086873782,-14.904460926923685
4403635,-20.052312972059738,-10.105137566866688
4403617,-21.491071857495893,-14.214408202266236
4403599,-22.26538545357291,-14.155848751378421
4405110,-22.054181673924756,-12.445501099810253
4403572,-22.580974868821052,-11.361117713296956
4405111,-20.671841222295257,-12.343265737087757
4403523,-16.440187772874793,-4.803961408286748
4403518,-18.398522746763827,-9.629472201711202
4403506,-20.84295284660934,-11.826042463448095
4403500,-19.479942903692997,-8.036009464914237
4403485,-19.486795737077628,-11.908032902773186
4403476,-24.335566810223924,-14.798381732095061
4403465,-19.178626871645598,-12.554553282876807
4403459,-20.37060092101877,-13.294222294455263
4403454,-18.590199627070344,-9.742084972119127
4403435,-23.501199296860037,-11.812609647023155
4404226,-22.092917645112195,-14.376698388909336
4403375,-22.7956348136073,-13.746233834832037
4403364,-22.24751735050357,-14.656856218808242
4403363,-17.75227866112663,-9.93848236655666
4403362,-20.509826600097593,-13.42309307955926
4403359,-20.627599056471844,-10.408160267895575
4403340,-23.916775100009176,-15.482434047457653
4403328,-19.948383877905155,-13.467213852962201
4403308,-20.751582697203624,-11.814368756385125
4404603,-18.458358809666638,-9.886654036653816
4403299,-20.438231491648377,-12.728137502701863
4400069,-16.598909104876373,-10.370832393609065
4400093,-22.24394193076658,-13.42459691753764
4405124,-20.272639221069475,-12.244802531517065
4400140,-18.68690668567797,-11.27793064764099
4400153,-23.498988212839713,-14.887010441621873
4400234,-22.528308458383176,-14.031752375951033
4400235,-20.16151384733102,-10.700866880309395
4404235,-18.859249510077976,0.2917312390720226
4400280,-22.831308271553425,-11.539822735419456
4400290,-21.547826736637248,-12.933828226144369
4400301,-20.249934533210595,-11.483502268755341
4400302,-19.960731949362668,-12.900260648262375
4400334,-23.522651219978847,-13.726849229156329
4400344,-22.861997172937897,-13.578177125935744
4400345,-17.696455412138096,-12.053218798723336
4405129,-21.11957442620404,-8.72853349475082
4400365,-24.339072310922074,-15.024619084592958
4404105,-19.19449693960585,-11.966942498637827
4400385,-19.660036851101964,-11.666335460600601
4400387,-22.957642810688426,-14.192211238161432
4400392,-21.94477702663214,-12.455153018305017
4400396,-21.457285114239326,-13.508977300712903
4400414,-18.182583210417295,-9.053684556189499
4400426,-21.29867226518792,-12.875545039093694
4400462,-23.363923427644405,-14.214341872383503
4400469,-19.51825157373501,-10.56067787074054
4400475,-19.43359788403232,-11.775149395750537
4400484,-22.37894771416408,-10.184867687938688
