station,year,station_mm,days,cpc,prism,daymet,imerg,name,km_to_coast,elev_m,cpc_pct,prism_pct,daymet_pct,imerg_pct
193,2022,348.5,365,356.4154861330986,338.9605910505634,348.3600030094385,410.0034904049826,Pacific Grove,6.132006449860174,15.24,102.27130161638411,97.2627234004486,99.95982869711291,117.64806037445699
104,2022,671.2,365,356.4154861330986,684.2020849757828,704.3600010871887,423.04849213996204,De Laveaga,12.005958297868617,91.44,53.10123452519347,101.93714019305465,104.94040540631535,63.02867880511949
210,2022,411.0,365,356.4154861330986,355.1178937018849,405.5800025463104,366.24049255246064,Carmel,12.121723987876804,22.86,86.71909638274906,86.40338046274572,98.6812658263529,89.10960889354273
229,2022,246.6,365,356.4154861330986,306.3952911152737,371.869998216629,354.17399212368764,Laguna Seca,20.96399723187826,97.536,144.53182730458175,124.2478877190891,150.79886383480496,143.62286785226587
209,2022,470.5,365,356.4154861330986,588.1075874471571,590.1899997293949,389.05299074196955,Watsonville West II,22.165148291879316,73.152,75.7524943959827,124.99629913860937,125.43889473525928,82.68926476981287
116,2022,350.7,365,356.4154861330986,302.95999087858945,330.07999594323337,335.02749220165424,Salinas North,28.621767467005295,18.5928,101.62973656489838,86.38722294798673,94.12032961027471,95.53107847209988
129,2022,559.1,365,356.4154861330986,488.5489868973382,501.0499971061945,343.3504918591934,Pajaro,28.98228837113962,19.812,63.748074786817845,87.38132478936473,89.61724147848228,61.411284539294115
214,2022,220.20000000000002,365,356.4154861330986,300.8328937019978,296.3599989116192,277.54799395421287,Salinas South II,41.43823250277842,46.6344,161.85989379341444,136.61802620435867,134.5867388336145,126.04359398465616
114,2022,146.9,365,313.76465656608343,218.2657943814993,234.0000001192093,249.00099346908974,Arroyo Seco,46.0805381783593,71.628,213.59064436084643,148.58120788393416,159.29203547938005,169.50373959774657
113,2022,187.4,365,313.76465656608343,207.6893968989607,209.0099987667054,244.03849437856115,King City-Oasis Rd.,47.22375301975079,164.592,167.4304464066614,110.82678596529385,111.53148279973607,130.2233161038213
211,2022,352.4,358,410.1651324093342,388.2923943810165,406.9800004065037,284.8414934007451,Gilroy,49.351066910624766,56.388000000000005,116.39192179606533,110.18512893899447,115.48808184066507,80.82902763925797
252,2022,177.6,365,313.76465656608343,205.93019723240286,228.24000007659197,256.3904938341584,Soledad II,49.9812114591311,65.2272,176.66928860702896,115.95168763085746,128.51351355663962,144.3640167985126
143,2022,543.4,364,242.8524233236909,303.1509931564797,308.2899977117777,289.7439930131077,San Juan Valley,50.7340772089819,74.676,44.69128143608593,55.78781618632309,56.73352920717293,53.32057287690609
126,2022,253.1,364,242.8524233236909,262.3262977558188,278.4499992802739,275.89849360549124,San Benito,60.6537273240401,103.632,95.95117476242234,103.64531716942663,110.01580374566335,109.00770193816328
193,2023,481.3,365,650.9851799964905,505.14909038413316,567.0899979174137,694.58148448664,Pacific Grove,6.132006449860174,15.24,135.25559526210066,104.95514032498092,117.82464116297812,144.3136265295325
104,2023,1013.6,365,650.9851799964905,1126.2493778406642,1169.2800055425614,737.089483136835,De Laveaga,12.005958297868617,91.44,64.2250572214375,111.11379023684532,115.35911656891884,72.7199568998456
210,2023,627.1,365,650.9851799964905,604.1123865386471,618.8900010660291,642.3229858282139,Carmel,12.121723987876804,22.86,103.80883112685225,96.33429860287787,98.69079908563691,102.42752126107699
229,2023,472.7,365,650.9851799964905,515.7514897570945,586.2400026321411,595.9184878883534,Laguna Seca,20.96399723187826,97.536,137.71634863475578,109.1075713469631,124.0194632181386,126.06695322368383
209,2023,763.1,365,650.9851799964905,845.0666871393332,870.5300045013428,698.8144852095866,Watsonville West II,22.165148291879316,73.152,85.30797798407686,110.74127730826015,114.07810306661548,91.57574173890532
116,2023,457.1,365,650.9851799964905,468.9701890278375,460.7999972552061,555.5924874224002,Salinas North,28.621767467005295,18.5928,142.4163596579502,102.59684730427422,100.8094502855406,121.54725167849489
129,2023,753.9,365,650.9851799964905,677.5952857970551,718.0599974989891,652.376986212621,Pajaro,28.98228837113962,19.812,86.34900915194197,89.8786690273319,95.24605352155314,86.53362332041664
214,2023,308.6,365,650.9851799964905,512.8263930827379,384.3100028038025,481.73798850236926,Salinas South II,41.43823250277842,46.6344,210.94788723152638,166.17835161462668,124.53337744776489,156.10433846479884
114,2023,286.9,365,834.9464229077101,457.70999212475726,642.1599970310926,432.1679909499362,Arroyo Seco,46.0805381783593,71.628,291.0235004906623,159.5364210961162,223.82711642770747,150.63366711395477
113,2023,350.90000000000003,365,834.9464229077101,479.3005904215388,602.3799968548119,415.1744904292282,King City-Oasis Rd.,47.22375301975079,164.592,237.9442641515275,136.5917898038013,171.66714073947333,118.3170391647843
211,2023,486.8,365,897.7723672524095,692.5420855768025,702.1899994313717,543.930985898478,Gilroy,49.351066910624766,56.388000000000005,184.42324717592635,142.26419177830783,144.2460968429276,111.73602832754271
252,2023,318.7,365,834.9464229077101,393.0222954247147,602.7400007471442,449.0319890463725,Soledad II,49.9812114591311,65.2272,261.9850715116756,123.32045667546743,189.12456879420904,140.89488203525966
143,2023,417.2,364,501.2928518086672,504.1200915630907,496.85000520944595,518.2589876798447,San Juan Valley,50.7340772089819,74.676,120.15648413438811,120.83415425769192,119.09156404828522,124.22315140935876
126,2023,398.0,365,501.2928518086672,418.5431915409863,490.7700016349554,493.3029890267644,San Benito,60.6537273240401,103.632,125.95297784137367,105.16160591482068,123.30904563692347,123.9454746298403
