station,name,city,county,active,elev_ft,lat,lon,elev_m,km_to_nearest_unit,event_mm,jan_mm,event_days_missing
214,Salinas South II,Salinas,Monterey,True,153,36.625619,-121.537889,46.6344,0.18287159558968813,55.1,44.2,0
209,Watsonville West II,Watsonville,Santa Cruz,True,240,36.913083,-121.82365,73.152,0.2772173123355401,82.0,198.4,0
116,Salinas North,Salinas,Monterey,True,61,36.716806,-121.69189,18.5928,0.8211240410655387,58.5,97.2,0
129,Pajaro,Pajaro,Monterey,True,65,36.902778,-121.74193,19.812,0.8301193022989067,98.1,210.0,0
113,King City-Oasis Rd.,King City,Monterey,True,540,36.121083,-121.08457,164.592,2.7424679580016553,64.9,112.10000000000001,0
114,Arroyo Seco,Soledad,Monterey,True,235,36.347306,-121.29135,71.628,4.712392560992807,33.8,85.6,0
229,Laguna Seca,Monterey,Monterey,True,320,36.570111,-121.7865,97.536,10.255466822897391,52.5,129.2,0
143,San Juan Valley,Hollister,San Benito,True,245,36.822861,-121.46787,74.676,11.328439364937582,100.8,30.8,0
104,De Laveaga,Santa Cruz,Santa Cruz,True,300,36.997444,-121.99676,91.44,12.69117710160356,137.3,274.6,0
211,Gilroy,Gilroy,Santa Clara,True,185,37.015026,-121.53704,56.388000000000005,15.16443006292619,97.2,162.0,0
193,Pacific Grove,Pacific Grove,Monterey,True,50,36.633222,-121.93486,15.24,15.22144510380404,45.6,121.30000000000001,0
252,Soledad II,Soledad,Monterey,True,214,36.456728,-121.344388,65.2272,15.313469751353288,36.900000000000006,129.4,0
210,Carmel,Carmel,Monterey,True,75,36.540889,-121.88196,22.86,18.440683781939377,65.5,180.7,0
126,San Benito,Hollister,San Benito,True,340,36.854833,-121.36275,103.632,21.32899972402149,77.69999999999999,98.6,0
