a,b,km,d_event,d_jan,band
214,209,40.862034311976586,26.9,154.2,30-50 km
214,116,17.07781853868866,3.3999999999999986,53.0,15-30 km
214,129,35.774512345265656,42.99999999999999,165.8,30-50 km
214,113,69.23586317366683,9.800000000000004,67.9,> 50 km
214,114,37.99009225562479,21.300000000000004,41.39999999999999,30-50 km
214,229,23.05219063729138,2.6000000000000014,84.99999999999999,15-30 km
214,143,22.79458598060473,45.699999999999996,13.400000000000002,15-30 km
214,104,58.13123796249505,82.20000000000002,230.40000000000003,> 50 km
214,211,43.2818336443135,42.1,117.8,30-50 km
214,193,35.461515247321714,9.5,77.10000000000001,30-50 km
214,252,25.526935376852816,18.199999999999996,85.2,15-30 km
214,210,32.15559910234483,10.399999999999999,136.5,30-50 km
214,126,29.88225631270207,22.599999999999987,54.39999999999999,15-30 km
209,116,24.77320996627682,23.5,101.2,15-30 km
209,129,7.360980245062209,16.099999999999994,11.599999999999994,< 15 km
209,113,110.07500315795293,17.099999999999994,86.3,> 50 km
209,114,78.8267730774507,48.2,112.80000000000001,> 50 km
209,229,38.2633176837456,29.5,69.20000000000002,30-50 km
209,143,33.22299737151316,18.799999999999997,167.6,30-50 km
209,104,18.024573309703094,55.30000000000001,76.20000000000002,15-30 km
209,211,27.88893389237859,15.200000000000003,36.400000000000006,15-30 km
209,193,32.6468576991779,36.4,77.1,30-50 km
209,252,66.34579317441727,45.099999999999994,69.0,> 50 km
209,210,41.69293460570897,16.5,17.700000000000017,30-50 km
209,126,41.530851894620874,4.300000000000011,99.80000000000001,30-50 km
116,129,21.145672759876568,39.599999999999994,112.8,15-30 km
116,113,85.67785341743185,6.400000000000006,14.900000000000006,> 50 km
116,114,54.48939824199417,24.700000000000003,11.600000000000009,> 50 km
116,229,18.362402738235723,6.0,31.999999999999986,15-30 km
116,143,23.188729618883485,42.3,66.4,15-30 km
116,104,41.35013676177982,78.80000000000001,177.40000000000003,30-50 km
116,211,35.89953145601845,38.7,64.8,30-50 km
116,193,23.591460923150212,12.899999999999999,24.10000000000001,15-30 km
116,252,42.42225287336434,21.599999999999994,32.2,30-50 km
116,210,25.89188017811677,7.0,83.49999999999999,15-30 km
116,126,33.10295984793324,19.19999999999999,1.3999999999999915,30-50 km
129,113,104.8993476378611,33.19999999999999,97.89999999999999,> 50 km
129,114,73.69246199536106,64.3,124.4,> 50 km
129,229,37.18725490754668,45.599999999999994,80.80000000000001,30-50 km
129,143,25.966494273230463,2.700000000000003,179.2,15-30 km
129,104,24.985503962740758,39.20000000000002,64.60000000000002,15-30 km
129,211,22.081267595232145,0.8999999999999915,48.0,15-30 km
129,193,34.54542816817095,52.49999999999999,88.69999999999999,30-50 km
129,252,60.96261144614991,61.19999999999999,80.6,> 50 km
129,210,42.11655992289751,32.599999999999994,29.30000000000001,30-50 km
129,126,34.16988467226749,20.400000000000006,111.4,30-50 km
113,114,31.248839617512356,31.10000000000001,26.500000000000014,30-50 km
113,229,80.30398201874637,12.400000000000006,17.09999999999998,> 50 km
113,143,85.20043656540066,35.89999999999999,81.30000000000001,> 50 km
113,104,127.02022750244137,72.4,162.5,> 50 km
113,211,107.26518182315162,32.3,49.89999999999999,> 50 km
113,193,95.0968924904329,19.300000000000004,9.200000000000003,> 50 km
113,252,43.98148154348742,28.0,17.299999999999997,30-50 km
113,210,85.36449648049033,0.5999999999999943,68.59999999999998,> 50 km
113,126,85.258069731031,12.799999999999983,13.500000000000014,> 50 km
114,229,50.76634454995562,18.700000000000003,43.599999999999994,> 50 km
114,143,55.15596160209228,67.0,54.8,> 50 km
114,104,95.83926134202524,103.50000000000001,189.00000000000003,> 50 km
114,211,77.38323231386124,63.400000000000006,76.4,> 50 km
114,193,65.75981592211248,11.800000000000004,35.70000000000002,> 50 km
114,252,13.055166983244472,3.1000000000000085,43.80000000000001,< 15 km
114,210,57.08180342887716,31.700000000000003,95.1,> 50 km
114,126,56.7656662511556,43.89999999999999,13.0,> 50 km
229,143,39.96753627259018,48.3,98.39999999999999,30-50 km
229,104,51.05957599258442,84.80000000000001,145.40000000000003,> 50 km
229,211,54.217824318923775,44.7,32.80000000000001,> 50 km
229,193,14.995643385478472,6.899999999999999,7.899999999999977,< 15 km
229,252,41.502050566630814,15.599999999999994,0.20000000000001705,30-50 km
229,210,9.130436929737614,13.0,51.5,< 15 km
229,126,49.298849889821135,25.19999999999999,30.599999999999994,30-50 km
143,104,50.90230480761368,36.500000000000014,243.8,> 50 km
143,211,22.228196773165575,3.5999999999999943,131.2,15-30 km
