design,product,threshold (mm),hit,miss,false alarm,correct reject,detection rate,false-alarm rate,units paid
rain only,cpc,50.0,18,0,719,0,1.0,1.0,737
dual (rain and image),cpc,50.0,6,12,9,710,0.3333333333333333,0.012517385257301807,15
rain only,cpc,75.0,18,0,715,4,1.0,0.9944367176634215,733
dual (rain and image),cpc,75.0,6,12,9,710,0.3333333333333333,0.012517385257301807,15
rain only,cpc,100.0,0,18,2,717,0.0,0.0027816411682892906,2
dual (rain and image),cpc,100.0,0,18,0,719,0.0,0.0,0
rain only,prism,50.0,18,0,719,0,1.0,1.0,737
dual (rain and image),prism,50.0,6,12,9,710,0.3333333333333333,0.012517385257301807,15
rain only,prism,75.0,15,3,327,392,0.8333333333333334,0.45479833101529904,342
dual (rain and image),prism,75.0,3,15,2,717,0.16666666666666666,0.0027816411682892906,5
rain only,prism,100.0,1,17,93,626,0.05555555555555555,0.12934631432545202,94
dual (rain and image),prism,100.0,0,18,0,719,0.0,0.0,0
rain only,daymet,50.0,18,0,719,0,1.0,1.0,737
dual (rain and image),daymet,50.0,6,12,9,710,0.3333333333333333,0.012517385257301807,15
rain only,daymet,75.0,15,3,265,454,0.8333333333333334,0.36856745479833103,280
dual (rain and image),daymet,75.0,3,15,1,718,0.16666666666666666,0.0013908205841446453,4
rain only,daymet,100.0,15,3,147,572,0.8333333333333334,0.20445062586926285,162
dual (rain and image),daymet,100.0,3,15,0,719,0.16666666666666666,0.0,3
rain only,imerg,50.0,18,0,719,0,1.0,1.0,737
dual (rain and image),imerg,50.0,6,12,9,710,0.3333333333333333,0.012517385257301807,15
rain only,imerg,75.0,0,18,35,684,0.0,0.048678720445062586,35
dual (rain and image),imerg,75.0,0,18,1,718,0.0,0.0013908205841446453,1
rain only,imerg,100.0,0,18,0,719,0.0,0.0,0
dual (rain and image),imerg,100.0,0,18,0,719,0.0,0.0,0
image only,-,,6,12,9,710,0.3333333333333333,0.012517385257301807,15
