cause_description,indemnity
Fire,35151510.9
Heat,19022475.36
ARPI/SCO/ECO/STAX/MP/HIP-WI/PACE Crops Only,8112057.0
Cold Wet Weather,6322910.18
Frost,4690461.68
Excess Moisture/Precipitation/Rain,4315078.609999999
ARPI/SCO/STAX/MP Crops Only,3868071.0
ARPI/SCO/STAX/MP/HIP WI Crops Only,2924926.0
Freeze,2859932.55
ARPI/SCO/ECO/STAX/MP/PACE Crops Only,2612373.0
ARPI/SCO/ECO/STAX/MP/HIP WI Crops Only,1916921.0
All Other Causes,1822981.75
Plant Disease,1277029.6
ARPI/SCO/STAX Crops Only,1225529.0
Wind/Excess Wind,641349.67
Flood,497559.0
"Other (Snow, Lightning, Etc.)",174635.8
Hail,106091.8
Cold Winter,105274.65
Tropical Storm,30670.4
Wildlife,10344.05
Drought,1344.0
