site_no,site_name,date,parameter,statistic,value
11152500,Salinas River near Spreckels,2023-01-01,discharge_cfs,mean,13.6
11152500,Salinas River near Spreckels,2023-01-02,discharge_cfs,mean,223.0
11152500,Salinas River near Spreckels,2023-01-03,discharge_cfs,mean,228.0
11152500,Salinas River near Spreckels,2023-01-04,discharge_cfs,mean,115.0
11152500,Salinas River near Spreckels,2023-01-05,discharge_cfs,mean,110.0
11152500,Salinas River near Spreckels,2023-01-06,discharge_cfs,mean,508.0
11152500,Salinas River near Spreckels,2023-01-07,discharge_cfs,mean,1200.0
11152500,Salinas River near Spreckels,2023-01-08,discharge_cfs,mean,1140.0
11152500,Salinas River near Spreckels,2023-01-09,discharge_cfs,mean,1380.0
11152500,Salinas River near Spreckels,2023-01-10,discharge_cfs,mean,2000.0
11152500,Salinas River near Spreckels,2023-01-11,discharge_cfs,mean,3620.0
11152500,Salinas River near Spreckels,2023-01-12,discharge_cfs,mean,5840.0
11152500,Salinas River near Spreckels,2023-01-13,discharge_cfs,mean,11800.0
11152500,Salinas River near Spreckels,2023-01-14,discharge_cfs,mean,8280.0
11152500,Salinas River near Spreckels,2023-01-15,discharge_cfs,mean,5710.0
11152500,Salinas River near Spreckels,2023-01-16,discharge_cfs,mean,6860.0
11152500,Salinas River near Spreckels,2023-01-17,discharge_cfs,mean,7830.0
11152500,Salinas River near Spreckels,2023-01-18,discharge_cfs,mean,8930.0
11152500,Salinas River near Spreckels,2023-01-19,discharge_cfs,mean,7560.0
11152500,Salinas River near Spreckels,2023-01-20,discharge_cfs,mean,6140.0
11152500,Salinas River near Spreckels,2023-01-21,discharge_cfs,mean,4970.0
11152500,Salinas River near Spreckels,2023-01-22,discharge_cfs,mean,4050.0
11152500,Salinas River near Spreckels,2023-01-23,discharge_cfs,mean,3050.0
11152500,Salinas River near Spreckels,2023-01-24,discharge_cfs,mean,2350.0
11152500,Salinas River near Spreckels,2023-01-25,discharge_cfs,mean,2050.0
11152500,Salinas River near Spreckels,2023-01-26,discharge_cfs,mean,1830.0
11152500,Salinas River near Spreckels,2023-01-27,discharge_cfs,mean,1510.0
11152500,Salinas River near Spreckels,2023-01-28,discharge_cfs,mean,1320.0
11152500,Salinas River near Spreckels,2023-01-29,discharge_cfs,mean,1190.0
11152500,Salinas River near Spreckels,2023-01-30,discharge_cfs,mean,1070.0
11152500,Salinas River near Spreckels,2023-01-31,discharge_cfs,mean,957.0
